id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW150914-v4,GW150914,4,GWTC-2.1-confident,1126259462.4,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW150914/v4,34.6,-2.6,4.4,30.0,-4.6,2.9,26.0,-0.2,0.1,470.0,-160.0,140.0,-0.04,-0.14,0.12,64.5,-3.2,3.7,27.9,-1.5,1.7,,,,0.1,-0.03,0.03,,,,,,,61.5,-2.9,3.4
GW151012-v4,GW151012,4,GWTC-2.1-confident,1128678900.4,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW151012/v4,24.8,-6.3,14.5,13.6,-4.9,4.5,9.3,-0.5,0.3,1000.0,-490.0,640.0,0.12,-0.21,0.28,38.8,-4.7,10.3,15.6,-1.5,2.3,,,,0.2,-0.09,0.11,,,,,,,37.1,-4.6,10.6
GW151226-v3,GW151226,3,GWTC-2.1-confident,1135136350.6,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW151226/v3,14.2,-3.6,11.1,7.5,-2.8,2.4,12.7,-0.4,0.3,460.0,-200.0,160.0,0.2,-0.08,0.23,21.7,-1.6,8.3,8.9,-0.3,0.3,,,,0.1,-0.04,0.03,,,,,,,20.7,-1.6,8.6
GW170104-v3,GW170104,3,GWTC-2.1-confident,1167559936.6,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170104/v3,28.7,-4.2,6.6,20.8,-4.7,4.1,13.8,-0.3,0.2,1110.0,-480.0,390.0,-0.04,-0.19,0.15,49.6,-3.6,4.7,21.1,-1.5,2.0,,,,0.22,-0.09,0.07,,,,,,,47.5,-3.4,4.5
GW170608-v4,GW170608,4,GWTC-2.1-confident,1180922494.5,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170608/v4,10.6,-1.4,4.0,7.8,-1.9,1.2,15.3,-0.3,0.2,340.0,-130.0,120.0,0.05,-0.05,0.13,18.5,-0.6,2.0,7.9,-0.2,0.2,,,,0.07,-0.03,0.03,,,,,,,17.7,-0.6,2.1
GW170729-v2,GW170729,2,GWTC-2.1-confident,1185389807.3,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170729/v2,54.7,-12.8,12.7,30.2,-10.2,11.9,10.7,-0.5,0.4,2490.0,-1230.0,1690.0,0.29,-0.33,0.25,84.4,-10.9,15.0,34.6,-5.7,7.0,,,,0.44,-0.19,0.24,,,,,,,80.3,-10.2,13.5
GW170809-v2,GW170809,2,GWTC-2.1-confident,1186302519.8,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170809/v2,34.1,-5.3,8.0,24.2,-5.3,4.8,12.8,-0.3,0.2,1070.0,-380.0,310.0,0.07,-0.17,0.17,58.5,-3.9,5.3,24.8,-1.6,2.2,,,,0.21,-0.07,0.05,,,,,,,55.7,-3.6,5.0
GW170814-v4,GW170814,4,GWTC-2.1-confident,1186741861.5,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170814/v4,30.9,-3.3,5.4,24.9,-4.0,3.0,17.7,-0.3,0.2,610.0,-230.0,160.0,0.08,-0.12,0.13,56.0,-3.0,3.5,24.1,-1.2,1.4,,,,0.13,-0.05,0.03,,,,,,,53.2,-2.7,3.2
GW170817-v3,GW170817,3,GWTC-1-confident,1187008882.4,https://doi.org/10.7935/82H3-HH23,https://gwosc.org/eventapi/json/GWTC-1-confident/GW170817/v3,1.46,-0.1,0.12,1.27,-0.09,0.09,33.0,,,40.0,-15.0,7.0,0.0,-0.01,0.02,,,,1.186,-0.001,0.001,,,,0.01,0.0,0.0,1e-07,,,1.0,,,2.8,,
GW170818-v2,GW170818,2,GWTC-2.1-confident,1187058327.1,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW170818/v2,34.8,-4.2,6.5,27.6,-5.1,4.1,12.0,-0.4,0.3,1080.0,-410.0,430.0,-0.06,-0.22,0.19,62.5,-4.6,5.3,26.8,-2.0,2.3,,,,0.21,-0.07,0.07,,,,,,,59.7,-4.2,4.9
