# M_lo[MeV], M_hi[MeV], forkA_frac, forkB_frac
200, 220, 3.252840e-02, 3.209017e-02
220, 240, 3.537019e-02, 3.497822e-02
240, 260, 3.856638e-02, 3.824132e-02
260, 280, 4.018234e-02, 3.996111e-02
280, 300, 4.172842e-02, 4.163136e-02
300, 320, 4.332529e-02, 4.337540e-02
320, 340, 4.332689e-02, 4.354019e-02
340, 360, 4.405086e-02, 4.444602e-02
360, 380, 4.328166e-02, 4.385667e-02
380, 400, 4.279889e-02, 4.356125e-02
400, 420, 4.263446e-02, 4.359661e-02
420, 440, 4.118127e-02, 4.231169e-02
440, 460, 4.067239e-02, 4.198812e-02
460, 480, 3.900695e-02, 4.045426e-02
480, 500, 3.780625e-02, 3.937327e-02
500, 520, 3.702791e-02, 3.869807e-02
520, 540, 3.524876e-02, 3.692616e-02
540, 560, 3.392244e-02, 3.556023e-02
560, 580, 3.297155e-02, 3.450195e-02
580, 600, 3.110248e-02, 3.237970e-02
600, 620, 2.996126e-02, 3.089621e-02
620, 640, 2.791790e-02, 2.836230e-02
640, 660, 2.611403e-02, 2.597620e-02
660, 680, 2.442276e-02, 2.362416e-02
680, 700, 2.189065e-02, 2.045760e-02
700, 720, 1.974195e-02, 1.772915e-02
720, 740, 1.694729e-02, 1.457542e-02
740, 760, 1.438519e-02, 1.184256e-02
760, 780, 1.203687e-02, 9.501412e-03
780, 800, 9.561486e-03, 7.267982e-03
800, 820, 7.526672e-03, 5.543733e-03
