# f[Hz]  Omega_total  Omega_last_bounce  Omega_comb_tail
# NVG derived template: f* = 2.80e-05 Hz, Omega* = 1.20e-09,
# comb spacing 2^(-1/3) = 0.7937, dilution 2^(4/3) = 2.5198
1.000000e-07  1.784488e-15  3.875483e-16  1.396940e-15
1.023293e-07  1.912065e-15  4.152648e-16  1.496800e-15
1.047129e-07  2.048761e-15  4.449635e-16  1.603797e-15
1.071519e-07  2.195226e-15  4.767861e-16  1.718440e-15
1.096478e-07  2.352159e-15  5.108846e-16  1.841275e-15
1.122018e-07  2.520308e-15  5.474217e-16  1.972886e-15
1.148154e-07  2.700473e-15  5.865718e-16  2.113902e-15
1.174898e-07  2.893514e-15  6.285217e-16  2.264992e-15
1.202264e-07  3.100348e-15  6.734716e-16  2.426877e-15
1.230269e-07  3.321963e-15  7.216362e-16  2.600326e-15
1.258925e-07  3.559412e-15  7.732453e-16  2.786167e-15
1.288250e-07  3.813827e-15  8.285452e-16  2.985282e-15
1.318257e-07  4.086419e-15  8.877998e-16  3.198620e-15
1.348963e-07  4.378487e-15  9.512920e-16  3.427194e-15
1.380384e-07  4.691419e-15  1.019325e-15  3.672094e-15
1.412538e-07  5.026706e-15  1.092223e-15  3.934483e-15
1.445440e-07  5.385944e-15  1.170334e-15  4.215609e-15
1.479108e-07  5.770841e-15  1.254032e-15  4.516809e-15
1.513561e-07  6.183229e-15  1.343715e-15  4.839515e-15
1.548817e-07  6.625070e-15  1.439811e-15  5.185259e-15
1.584893e-07  7.098465e-15  1.542779e-15  5.555686e-15
1.621810e-07  7.605665e-15  1.653111e-15  5.952554e-15
1.659587e-07  8.149082e-15  1.771333e-15  6.377749e-15
1.698244e-07  8.731299e-15  1.898010e-15  6.833289e-15
1.737801e-07  9.355082e-15  2.033745e-15  7.321338e-15
1.778279e-07  1.002340e-14  2.179186e-15  7.844211e-15
1.819701e-07  1.073942e-14  2.335028e-15  8.404389e-15
1.862087e-07  1.150654e-14  2.502015e-15  9.004530e-15
1.905461e-07  1.232842e-14  2.680943e-15  9.647479e-15
1.949845e-07  1.320895e-14  2.872665e-15  1.033628e-14
1.995262e-07  1.415231e-14  3.078098e-15  1.107421e-14
2.041738e-07  1.516297e-14  3.298221e-15  1.186475e-14
2.089296e-07  1.624574e-14  3.534084e-15  1.271165e-14
2.137962e-07  1.740574e-14  3.786813e-15  1.361893e-14
2.187762e-07  1.864848e-14  4.057614e-15  1.459086e-14
2.238721e-07  1.997984e-14  4.347779e-15  1.563206e-14
2.290868e-07  2.140613e-14  4.658692e-15  1.674744e-14
2.344229e-07  2.293411e-14  4.991837e-15  1.794227e-14
2.398833e-07  2.457101e-14  5.348804e-15  1.922221e-14
2.454709e-07  2.632458e-14  5.731294e-15  2.059329e-14
2.511886e-07  2.820312e-14  6.141134e-15  2.206198e-14
2.570396e-07  3.021550e-14  6.580278e-15  2.363522e-14
2.630268e-07  3.237124e-14  7.050822e-15  2.532042e-14
2.691535e-07  3.468052e-14  7.555009e-15  2.712552e-14
2.754229e-07  3.715426e-14  8.095245e-15  2.905902e-14
2.818383e-07  3.980413e-14  8.674108e-15  3.113002e-14
