name,snr,mass_final,snr_h1,res_h1,snr_l1,res_l1,S0,p,bkg_p90,S_inj,rho90
GW250114_082203,78.6,62.9,49.24,3.097,56.3,3.37,14.9,0.6169,20.01,74.25,3.114
GW240920_124024,37.4,65.6,22.54,2.936,29.12,3.278,23.37,0.05473,21.76,56.19,3.734
GW231226_101520,34.7,71.6,26.22,2.675,22.79,2.377,16.62,0.6368,21.56,99.39,2.794
GW241127_061008,31.3,83,23.81,2.753,17.84,2.065,14,0.408,18.06,78,2.887
GW240925_005809,31.2,15.32,nan,nan,nan,nan,14.18,0.9453,19.66,68.38,3.217
GW230627_015337,28.7,13.57,nan,nan,nan,nan,16.53,0.2338,18.1,79.8,2.858
GW240621_195059,28.2,62.9,21.93,3.294,14.88,3.499,17.82,0.1443,18.9,87.82,2.784
GW200129_065458,26.8,60.2,14.24,2.835,20.55,3.577,19.67,0.7015,24.31,77.55,3.359
GW240615_113620,26.4,57.8,15.74,3.091,19.8,3.346,13.53,0.995,20.26,48.43,3.881
GW150914,26,61.5,19.48,3.407,13.52,2.375,16.27,0.3333,20.16,75.33,3.104
GW190521_074359,25.9,72.6,11.64,2.225,20.22,3.646,13.74,0.4527,18.25,72.95,3.001
GW190814,25.3,25.7,nan,nan,nan,nan,11.08,0.6716,17.11,63.99,3.103
GW231028_153006,22.4,144,12.44,3.392,18.35,2.469,12.79,0.6169,17.91,61.44,3.239
GW231206_233901,21.9,63.1,12.37,3.013,17.01,2.85,13.14,0.6468,19,96.35,2.664
GW231123_135430,21.8,222,11.58,3.892,15.15,7.506,13.37,0.3234,16.48,63.09,3.067
GW241102_124058,21.7,18.1,nan,nan,nan,nan,8.621,0.8806,15.2,66.69,2.864
GW250119_190238,21.3,20.56,nan,nan,nan,nan,15.72,0.1692,17.29,71,2.961
GW230927_153832,20.3,36.5,11.43,2.755,16.24,3.025,12.76,0.7811,18.88,87.68,2.784
GW200224_222234,20,68.7,11.99,2.521,12.55,2.562,11.25,0.7562,18.92,83.03,2.864
GW190412,19.8,35.6,8.858,2.62,15.17,4.057,13.81,0.8109,20.77,58,3.591
GW241225_082815,19.5,94,10.33,3.691,13.95,2.978,15.22,0.5274,20.13,46.61,3.944
GW240413_022019,18.1,12.92,nan,nan,nan,nan,17.42,0.0597,16.1,76.31,2.756
GW200311_115853,17.8,59,11.71,2.889,9.897,2.567,18.9,0.1144,19.17,73.12,3.072
GW240910_103535,17.8,16.6,nan,nan,nan,nan,15.01,0.1791,16.92,84.56,2.684
GW170814,17.7,53.2,9.112,2.817,13.05,2.67,23.81,0.1194,23.97,85.29,3.181
GW241006_015333,17.6,42.7,12.5,3.775,22.39,13.83,24.35,0.1741,25.88,86.99,3.273
GW191204_171526,17.4,19.18,nan,nan,nan,nan,16.18,0.1692,17.11,47.71,3.593
GW241231_054133,17.4,18.7,nan,nan,nan,nan,14.07,0.2139,16.09,61.8,3.062
GW191109_010717,17.3,107,8.58,4.083,13.3,2.668,12.58,0.9453,37.15,72.31,4.301
GW230914_111401,17.2,91.2,10.73,2.782,11.84,2.957,18.36,0.8756,23.87,67.53,3.567
GW240514_121713,16.9,78.9,12.22,1.983,9.917,3.308,18.96,0.2836,22.17,64.63,3.515
GW240919_061559,16.9,64.7,9.635,2.426,12.32,3.227,18.51,0.2338,20.71,82.75,3.002
GW230919_215712,16.8,46.5,11.5,3.15,11.86,2.906,14.26,0.6468,18.65,67.32,3.158
GW240705_053215,16.8,78.2,8.01,3.039,11.25,2.515,25.79,0.02488,20.5,47.05,3.961
GW241129_021832,16.7,50.6,11.68,3.978,10.8,2.588,25.07,0.04478,23.06,61.94,3.661
GW190828_063405,16.5,54.3,10.33,2.943,11.98,2.474,16.73,0.3881,20.14,70.08,3.216
GW230628_231200,16.4,56.4,12.74,3.338,8.527,2.493,13.94,0.7662,20.28,62.56,3.416
GW240915_001357,16.4,17.88,nan,nan,nan,nan,15.54,0.2438,17.53,112.6,2.368
GW240511_031507,16.3,69.1,8.667,2.35,13,2.143,30.27,0.1443,31.04,74.56,3.871
GW241111_111552,16.3,43.2,12.85,3.369,7.757,2.837,20.13,0.8259,25.69,78.24,3.438
GW240930_035959,16.1,35.5,8.46,3.001,19.76,16.21,16.85,0.7363,22.16,105.1,2.756
GW190519_153544,15.9,100,9.233,3.069,11.08,2.599,17.93,0.2338,19.97,52.49,3.701
GW231102_071736,15.6,98,10.24,1.649,10.67,2.326,15.18,0.1393,15.75,81.93,2.631
GW170608,15.3,17.7,nan,nan,nan,nan,13.5,0.5771,19.24,67.39,3.206
GW190408_181802,14.6,41.4,9.76,3.083,10.08,2.847,17.27,0.2139,19.35,83.7,2.885
GW240513_183302,14.5,39.4,8.574,3.283,9.352,3.375,14.43,0.5174,18.96,72.1,3.077
GW250119_025138,14.5,57.1,9.972,3.128,9.295,2.844,20.16,0.4229,23.81,81.99,3.233
GW190521,14.3,147.4,7.862,1.578,10.7,3.915,13.11,0.4378,17.47,100.8,2.498
GW230518_125908,14.1,9.129,nan,nan,nan,nan,628.6,0.9353,633.4,653.4,5.907
GW231224_024321,14,15.89,nan,nan,nan,nan,11.32,0.9403,16.9,74.95,2.849
GW240920_073424,14,36.7,10.32,3.309,8.291,2.868,16.74,0.4279,20.4,62.76,3.421
GW250118_170523,13.9,64.4,8.271,3.057,9.589,2.832,24.62,0.0398,20.74,70.92,3.245
GW170104,13.8,47.5,8.998,2.661,9.623,2.809,15.6,0.4478,19.48,110.3,2.521
GW241130_034908,13.8,51.6,11.89,3.91,6.47,2.327,14.69,0.9104,22.13,67.65,3.431
GW230811_032116,13.6,55.3,6.143,2.449,9.724,2.58,17.58,0.3085,20.35,68.71,3.265
GW240923_204006,13.6,76.3,6.879,2.423,9.902,3.366,13.49,0.5871,18.42,94.85,2.644
GW230924_124453,13.5,49.4,10.04,3.027,8.623,2.734,29.47,0.00995,21.51,79.32,3.125
GW190706_222641,13.4,107.3,9.927,1.668,8.514,2.877,13.95,0.4876,18.73,68.92,3.128
GW230601_224134,13.4,102,8.839,2.221,9.66,1.897,34.8,0.9254,40.11,56.58,5.052
GW230922_020344,13.4,65.4,6.736,3.089,10.63,2.637,15.61,0.408,19.02,113.8,2.453
GW241210_060606,13.4,47.9,7.873,3.933,9.436,2.648,16.92,0.8209,22.83,71.11,3.4
GW190602_175927,13.2,110.5,6.062,2.256,9.384,3.017,20.65,0.3284,29.01,77.48,3.672
GW190707_093326,13.1,19.2,nan,nan,nan,nan,19.6,0.4876,22.68,93.75,2.951
GW190728_064510,13.1,19.7,nan,nan,nan,nan,14.48,0.3433,17.59,61.34,3.213
GW190915_235702,13.1,54.7,9.848,3.168,8.647,3.01,21.06,0.0398,19.2,71.73,3.104
GW191129_134029,13.1,16.8,nan,nan,nan,nan,9.909,0.5373,15.52,74.32,2.742
GW240615_160735,13.1,45.9,185.1,141.8,7.741,5.442,10.47,0.9303,18.97,82.26,2.881
GW250109_010541,13.1,62.2,5.931,2.12,10.77,3.568,13.12,0.791,19.84,82.52,2.942
GW170809,12.8,55.7,6.563,3.383,10.4,2.527,13.03,0.7761,19.08,74.38,3.039
GW231206_233134,12.8,60.6,6.393,3.254,8.972,2.48,12.87,0.7761,20.01,60.36,3.455
GW240515_005301,12.8,53.2,6.625,2.593,8.186,3.215,19.95,0.1741,21.01,85.24,2.979
GW151226,12.7,20.7,nan,nan,nan,nan,14.75,0.2736,16.96,93.01,2.562
GW190512_180714,12.7,34.3,5.631,2.859,9.898,2.746,19.24,0.1891,20.33,69.37,3.248
GW240629_145256,12.7,18.1,nan,nan,nan,nan,14.26,0.8557,20.08,86.15,2.896
GW241102_144729,12.7,72,9.136,2.241,8.144,2.406,13.86,0.597,18.91,76.37,2.985
GW231108_125142,12.6,38.9,8.749,3.427,10.03,2.476,18.6,0.6517,23.91,78.23,3.317
GW190513_205428,12.5,52.1,9.351,3.293,10.36,9.292,13.96,0.607,19.4,59.58,3.424
GW191222_033537,12.5,75.5,7.902,3.74,7.91,2.2,20.2,0.1045,20.2,77.6,3.061
GW200225_060421,12.5,32.1,9.708,2.992,7.564,3.17,15.98,0.8209,22.11,96.99,2.865
GW230922_040658,12.5,119,8.288,1.453,8.277,2.484,13.46,0.5075,17.33,58.44,3.267
GW240922_142106,12.5,18.4,nan,nan,nan,nan,8.617,0.9254,15.96,63.88,2.999
GW170823,12.2,63.9,6.146,2.937,9.564,2.408,11.08,0.9055,19.01,68.73,3.155
GW190503_185404,12.2,66.5,9.084,3.252,7.773,3.632,14.08,0.5075,18.96,63.36,3.282
GW230731_215307,12.2,17.4,nan,nan,nan,nan,8.188,0.8756,16.21,59.9,3.121
GW241230_233618,12.2,112,5.16,3.306,10.98,2.355,12.64,0.7363,18.47,70.21,3.078
GW230927_043729,12.1,59,8.569,2.706,7.018,2.606,21.13,0.1294,21.77,65.05,3.471
GW241009_084816,12.1,20.1,nan,nan,nan,nan,11.62,0.5771,17.71,95.27,2.587
GW250104_015122,12.1,76,7.644,2.814,8.566,2.037,19.18,0.2139,21.56,95.09,2.857
GW170818,12,59.7,4.488,2.421,9.661,2.866,12.19,0.7562,18.03,66.98,3.113
GW190924_021846,12,13.3,nan,nan,nan,nan,15.31,0.5025,19.21,111.7,2.488
GW231020_142947,12,18.8,nan,nan,nan,nan,9.675,0.791,16.39,66.48,2.979
GW230707_124047,11.9,78,5.781,3.058,8.512,3.174,11.83,0.9303,20.36,77.46,3.076
GW240520_213616,11.9,18.7,nan,nan,nan,nan,15.66,0.2985,18.14,78.78,2.879
GW231104_133418,11.8,20,nan,nan,nan,nan,15.32,0.9751,21.01,86.08,2.964
GW250108_152221,11.8,86,9.249,2.889,29.8,22.88,18.69,0.6269,24.01,63.6,3.687
GW190727_060333,11.7,65.4,8.529,2.128,7.709,3.239,14.38,0.4527,19.02,74.36,3.034
GW240512_024139,11.6,19.7,nan,nan,nan,nan,10.25,0.5721,15.13,90.55,2.452
GW231001_140220,11.5,111,8.211,2.094,6.483,2.192,13.9,0.5025,18.41,80.31,2.873
