Event,Catalog,Detector,Total_Mass,Max_Echo_SNR
GW200322_091133-v1,GWTC-3-confident,H1,49.3,3.560228566062817
GW200316_215756-v1,GWTC-3-confident,H1,20.9,3.721261496693309
GW200311_115853-v1,GWTC-3-confident,H1,61.900000000000006,3.413357829911618
GW200308_173609-v1,GWTC-3-confident,H1,84.0,2.679022487623046
GW200306_093714-v1,GWTC-3-confident,H1,43.1,4.005854785842784
GW200302_015811-v1,GWTC-3-confident,H1,57.8,3.4737025707930123
GW200225_060421-v1,GWTC-3-confident,H1,33.3,4.969042955346673
GW200224_222234-v1,GWTC-3-confident,H1,72.7,2.6702009659757313
GW200220_124850-v1,GWTC-3-confident,H1,66.8,3.3027207040716444
GW200220_061928-v1,GWTC-3-confident,H1,148.0,2.557237797161859
GW200219_094415-v1,GWTC-3-confident,H1,65.4,3.70348774585191
GW200216_220804-v1,GWTC-3-confident,H1,81.0,3.348458011321403
GW200210_092254-v1,GWTC-3-confident,H1,26.93,5.989383818711571
GW200209_085452-v1,GWTC-3-confident,H1,62.7,3.7891712186175264
GW200208_222617-v1,GWTC-3-confident,H1,63.3,3.214896439482625
GW200208_130117-v1,GWTC-3-confident,H1,65.1,3.293921393837164
GW200202_154313-v1,GWTC-3-confident,H1,17.4,3.4122315594435233
GW200129_065458-v1,GWTC-3-confident,H1,63.5,3.6196582739424925
GW200128_022011-v1,GWTC-3-confident,H1,74.80000000000001,3.277490234145508
GW200115_042309-v2,GWTC-3-confident,H1,7.34,2.5577659709168303
GW200112_155838-v1,GWTC-3-confident,L1,63.900000000000006,4.932123586849204
GW191230_180458-v1,GWTC-3-confident,H1,86.4,3.405439785567226
GW191222_033537-v1,GWTC-3-confident,H1,79.80000000000001,3.231931675184113
GW191219_163120-v1,GWTC-3-confident,H1,32.27,3.388448291982947
GW191216_213338-v1,GWTC-3-confident,H1,19.8,3.5307502524731005
GW191215_223052-v1,GWTC-3-confident,H1,43.0,4.430739966363677
GW191204_171526-v1,GWTC-3-confident,H1,20.1,3.547026971936562
GW191204_110529-v1,GWTC-3-confident,H1,46.5,4.3107512178067395
GW191129_134029-v1,GWTC-3-confident,H1,17.4,3.1299783029043318
GW191127_050227-v1,GWTC-3-confident,H1,77.0,2.6851577500415926
GW191126_115259-v1,GWTC-3-confident,H1,20.4,3.6094595008538244
GW191113_071753-v1,GWTC-3-confident,H1,34.9,3.4420372023171777
GW191109_010717-v1,GWTC-3-confident,H1,112.0,2.4994790017405935
GW191105_143521-v1,GWTC-3-confident,H1,18.4,2.583560204463007
