mass_msun,branch_id,radius_km,R_km,compactness,lambda,Lambda,k2,inertia_geom_km3,inertia_cgs_g_cm2,I,inertia_bar,Ibar,central_pressure,classification,same_background,lookup_table_used,method,target_mass_msun,target_root_pressure_msun_fm3,target_mass_residual_msun,display_R_km,display_compactness,display_Lambda,display_I_1e45,display_Ibar,legacy_i_bar_transform,legacy_i_bar_relative_disagreement
1.2,1,12.344747863045905,12.344747863045905,0.14353634595521028,1187.2927041898931,1187.2927041898931,0.10850718282731395,92.81156017592396,1.2497920434316023e+45,1.2497920434316023e+45,16.682830713635084,16.682830713635084,38.781611435267536,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.2,38.781611435267536,-2.9522184696872955e-10,12.345,0.14,1187.0,1.25,17.0,16.663286398163685,0.0011728975495729616
1.3,1,12.43543280464851,12.43543280464851,0.1543637467352514,792.8494919395921,792.8494919395921,0.10423380307839175,105.41006278842302,1.4194423358564689e+45,1.4194423358564689e+45,14.902647289330185,14.902647289330185,44.38510515043154,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.3,44.38510515043154,9.626727415223968e-09,12.435,0.15,793.0,1.419,15.0,14.884742421531584,0.0012028785061523682
1.3381,1,12.466899931727045,12.466899931727045,0.15848675058116762,682.3319386687238,682.3319386687238,0.10234149463759004,110.32704365671968,1.4856539538408488e+45,1.4856539538408488e+45,14.303017715186515,14.303017715186515,46.752078078168736,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.3381,46.752078078168736,-6.3389153925896835e-09,12.467,0.16,682.0,1.486,14.0,14.28562870236994,0.0012172524184842599
1.4,1,12.513756549152175,12.513756549152175,0.165197396311826,536.4776002797679,536.4776002797679,0.09900539560300363,118.43031305234308,1.5947718438670105e+45,1.5947718438670105e+45,13.405721042209118,13.405721042209118,50.92693857870497,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.4,50.92693857870497,1.3214523475468809e-08,12.514,0.17,536.0,1.595,13.0,13.389444646236718,0.0012155856194812757
1.5,1,12.576413716137672,12.576413716137672,0.17611538948960526,365.8495792009298,365.8495792009298,0.09297803354951552,131.74776244383017,1.7741034083481472e+45,1.7741034083481472e+45,12.124975748228431,12.124975748228431,58.734493908735864,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.5,58.734493908735864,-3.3510971775285725e-12,12.576,0.18,366.0,1.774,12.0,12.110123604594806,0.001226423792178178
1.6,1,12.619176861427244,12.619176861427244,0.18721981837195611,249.95370151021268,249.95370151021268,0.08624023278969535,145.19107103284676,1.9551297813570885e+45,1.9551297813570885e+45,11.01010266691341,11.01010266691341,68.32475325910731,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.6,68.32475325910731,-6.882787895179376e-09,12.619,0.19,250.0,1.955,11.0,10.996100830004531,0.0012733585489277514
1.7,1,12.635737334356644,12.635737334356644,0.1986603498930527,169.88337366489063,169.88337366489063,0.07884935062646334,158.50448121790203,2.1344069542511137e+45,2.1344069542511137e+45,10.020887548920575,10.020887548920575,80.58580585165015,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.7,80.58580585165015,3.7500380578592285e-09,12.636,0.2,170.0,2.134,10.0,10.008046872612994,0.001283028562481092
1.8,1,12.615084136575685,12.615084136575685,0.21069062807863848,113.55908316581929,113.55908316581929,0.07071950804480114,171.25904111367143,2.3061586998848383e+45,2.3061586998848383e+45,9.121103849925131,9.121103849925131,97.24596389995583,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.8,97.24596389995583,4.423594601732361e-09,12.615,0.21,114.0,2.306,9.0,9.109479260810875,0.0012760907110785824
1.9,1,12.533348900752737,12.533348900752737,0.22384599856080784,73.00767876235435,73.00767876235435,0.061546941215141315,182.5800556726734,2.4586064541580644e+45,2.4586064541580644e+45,8.26806610121671,8.26806610121671,122.46214573584041,derived_conditional,True,False,pressure_ordered_exact_mass_root,1.9,122.46214573584041,-2.2069088778664536e-09,12.533,0.22,73.0,2.459,8.0,8.258422654273598,0.0011677140003203022
2.0,1,12.307844365576742,12.307844365576742,0.23994453555650025,41.91286540754903,41.91286540754903,0.05000263955609867,189.66395693495855,2.553997625444028e+45,2.553997625444028e+45,7.363871945323638,7.363871945323638,172.5638911014231,derived_conditional,True,False,pressure_ordered_exact_mass_root,2.0,172.5638911014231,-4.199351977263177e-10,12.308,0.24,42.0,2.554,7.0,7.359486014750024,0.000595956728954787
