projection,quantity,value,status,scope,falsifier,minimal_prospective_requirement,dominant_uncertainty
echo,a90_raw_N1,0.049327406696197465,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N1,6177.959999999999,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N2,0.04648857501907475,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N2,8026.959999999999,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N4,0.04393937978467283,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N4,10707.359999999999,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N8,0.04154966047999715,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N8,14688.269999999999,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,a90_raw_N16,0.03969271176404624,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
echo,exposure_snr2_N16,19666.219999999998,sensitivity,catalog-conditioned deterministic synthetic-null y_i=0; not observational,A future event-level strain/posterior/PSD likelihood with a non-null event statistic can displace the synthetic-null projection.,"Provide keyed strain, posterior samples, detector PSDs, and an empirical time-slide bank; rerun the same hierarchical likelihood with an independently preregistered statistic.",No real event products; catalog selection and the complete P2-S8 raw A90 union are sensitivity inputs.
